Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-10],OUT[10],TEE[9-10],classifier
0.531743,0.017889,0.212492,0.004929,0.047074,0.000800,0.013409,0.000384,0.001472,0.111623,0.071460,0.055459,0.243214,1.080703
0.431385,0.018081,0.210956,0.005184,0.047363,0.000832,0.013825,0.000352,0.001504,0.106054,0.064196,0.054819,0.228909,0.966391
0.431545,0.017857,0.211020,0.004800,0.047939,0.000608,0.013697,0.000384,0.001440,0.119527,0.069540,0.056099,0.249006,0.986713
0.429785,0.017825,0.210957,0.004864,0.048451,0.000608,0.014209,0.000384,0.001600,0.111782,0.067364,0.055268,0.239022,0.975193
0.429977,0.018658,0.209804,0.004928,0.048547,0.000608,0.014209,0.000352,0.001536,0.111686,0.066948,0.055588,0.237486,0.973753
0.429913,0.017953,0.209324,0.004896,0.048995,0.000576,0.014305,0.000352,0.001536,0.113031,0.067300,0.055299,0.238862,0.974328
0.429561,0.017793,0.208652,0.005024,0.047779,0.000608,0.013825,0.000384,0.001536,0.117063,0.063172,0.052963,0.236718,0.968952
0.429048,0.018017,0.208812,0.005088,0.048515,0.000576,0.014209,0.000352,0.001568,0.105958,0.061668,0.051907,0.223277,0.957815
0.448730,0.021154,0.209996,0.004864,0.048963,0.000608,0.014529,0.000384,0.001536,0.118343,0.070756,0.056259,0.249262,1.007578
0.429081,0.017953,0.209484,0.005216,0.048515,0.000576,0.014145,0.000352,0.001536,0.114567,0.069604,0.061475,0.248783,0.982521
0.430393,0.017441,0.208844,0.004896,0.049699,0.000576,0.014081,0.000384,0.001536,0.101958,0.063140,0.054211,0.223213,0.958679
0.429689,0.017441,0.227661,0.005281,0.049699,0.000608,0.014049,0.000416,0.001440,0.101030,0.061603,0.053571,0.219660,0.974616
0.428729,0.017409,0.208556,0.005184,0.048003,0.000800,0.013825,0.000384,0.001440,0.104486,0.061060,0.053571,0.222957,0.954487
