Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-9],OUT[9],TEE[9-9],Layer[10],classifier
0.553280,0.017825,0.215981,0.004960,0.048579,0.000800,0.013569,0.000384,0.001504,0.122535,0.070372,0.075204,0.271535,0.001025,1.137378
0.430136,0.017953,0.211276,0.005056,0.048835,0.000576,0.013697,0.000384,0.001504,0.103174,0.069828,0.079941,0.256271,0.000992,0.994329
0.429752,0.017793,0.211052,0.005088,0.049027,0.000608,0.014049,0.000384,0.001504,0.106214,0.066212,0.077925,0.253839,0.001120,0.992537
0.447450,0.017793,0.210540,0.004897,0.050019,0.000608,0.014305,0.000448,0.001504,0.103782,0.066084,0.084133,0.257391,0.001024,1.013819
0.429401,0.017697,0.209900,0.004928,0.048771,0.000576,0.014433,0.000416,0.001568,0.106854,0.067428,0.080261,0.257711,0.000928,0.993945
0.429913,0.017569,0.209964,0.004801,0.048547,0.000608,0.014145,0.000416,0.001536,0.105062,0.067716,0.075460,0.251214,0.001056,0.987481
0.446842,0.017761,0.209164,0.004896,0.047747,0.000608,0.013633,0.000384,0.001504,0.105414,0.066340,0.070820,0.245934,0.000768,0.997017
0.429529,0.017377,0.209356,0.004801,0.048451,0.000608,0.013600,0.000352,0.001441,0.108262,0.066852,0.104774,0.283152,0.000800,1.017851
0.428984,0.017377,0.209356,0.004864,0.047555,0.000640,0.013505,0.000416,0.001440,0.105094,0.065572,0.078436,0.252430,0.000768,0.984697
0.429305,0.017537,0.229005,0.005408,0.047875,0.000608,0.013473,0.000384,0.001472,0.106022,0.066820,0.107654,0.283632,0.000672,1.037500
0.429464,0.017601,0.208684,0.005120,0.047491,0.000576,0.013473,0.000384,0.001440,0.104294,0.072644,0.078949,0.258991,0.000640,0.991929
0.429401,0.017473,0.209004,0.005056,0.047683,0.000576,0.013569,0.000384,0.001472,0.106598,0.067300,0.076101,0.253455,0.000800,0.986905
0.429465,0.017505,0.209356,0.005088,0.047331,0.000576,0.013505,0.000352,0.001472,0.126696,0.062787,0.073893,0.266832,0.000768,1.000026
0.428921,0.017729,0.208812,0.005088,0.049347,0.000544,0.013633,0.000416,0.001504,0.106566,0.066916,0.074885,0.252303,0.000736,0.986905
0.429241,0.017601,0.208428,0.005120,0.048419,0.000640,0.013473,0.000416,0.001504,0.104742,0.068100,0.085061,0.261039,0.000608,0.994297
