Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.519716,0.018593,0.210863,0.004992,0.047044,0.000832,0.013377,0.000384,0.001472,0.002624,0.000576,0.828026
0.448000,0.017729,0.211727,0.005312,0.047684,0.000768,0.013889,0.000352,0.001760,0.002560,0.000416,0.758005
0.429662,0.017761,0.209070,0.005633,0.048355,0.000512,0.013505,0.000416,0.001440,0.000737,0.000288,0.733267
0.429246,0.017761,0.208943,0.005024,0.048804,0.000576,0.013729,0.000416,0.001504,0.001120,0.000384,0.734611
0.429374,0.017409,0.208686,0.005217,0.048483,0.000608,0.013665,0.000352,0.001472,0.001120,0.000320,0.734292
0.445439,0.017729,0.209678,0.005216,0.047779,0.000544,0.013697,0.000448,0.001440,0.001184,0.000352,0.750292
0.429822,0.017345,0.208495,0.005312,0.048036,0.000608,0.013633,0.000416,0.001440,0.001216,0.000320,0.734387
0.430174,0.017345,0.208654,0.005441,0.047747,0.000576,0.013441,0.000384,0.001504,0.001024,0.000384,0.734100
0.431838,0.017921,0.210927,0.005056,0.048644,0.000992,0.014017,0.000640,0.001792,0.001728,0.000352,0.745011
0.448799,0.017761,0.209999,0.005248,0.047684,0.000992,0.014785,0.000608,0.001920,0.001696,0.000576,0.757492
0.429630,0.017601,0.209711,0.005024,0.047459,0.000608,0.014113,0.000608,0.001824,0.001408,0.000416,0.736307
0.429694,0.018433,0.209583,0.005024,0.047236,0.000608,0.014497,0.000352,0.001888,0.001376,0.000416,0.735891
0.430718,0.018434,0.209102,0.005217,0.047651,0.000576,0.014017,0.000416,0.001632,0.000960,0.000640,0.736372
0.447744,0.017601,0.210095,0.004992,0.047459,0.000576,0.013761,0.000640,0.001537,0.001248,0.000416,0.753173
0.429086,0.017633,0.209871,0.005088,0.047779,0.000576,0.013921,0.000384,0.001729,0.001280,0.000416,0.735283
0.429597,0.017537,0.208910,0.005057,0.048547,0.000608,0.013825,0.000640,0.001760,0.001249,0.000608,0.735187
0.430206,0.017538,0.209198,0.005153,0.048067,0.000608,0.013473,0.000608,0.001568,0.001056,0.000448,0.735123
