IN[5120],IN[6656],IN[3584],IN[2560],IN[5632],IN[9728],IN[7680],IN[3072],IN[2],IN[1],IN[2048],IN[1536],IN[9216],IN[32],IN[1024],IN[16],IN[6144],IN[8192],IN[512],IN[7168],IN[256],IN[4],IN[10240],IN[128],IN[64],IN[4608],IN[8704],IN[4096],IN[8]
0.116996,0.116547,0.119876,0.10633900000000002,0.140005,0.171717,0.140293,0.13709200000000002,0.07321799999999999,0.07132999999999999,0.115043,0.11296400000000001,0.192805,0.09561900000000001,0.078211,0.10518699999999999,0.13958800000000002,0.14877200000000002,0.10029099999999999,0.170757,0.08525,0.07773,0.15728499999999998,0.098787,0.099971,0.14298,0.177509,0.146405,0.10435499999999999
0.17223,0.160965,0.160773,0.117923,0.18470899999999998,0.165349,0.20061400000000001,0.164613,0.097091,0.073602,0.117923,0.109507,0.157029,0.073698,0.07821,0.08505900000000001,0.13958800000000002,0.194182,0.12173199999999999,0.163301,0.074722,0.085346,0.169957,0.08109,0.12297999999999999,0.132964,0.193925,0.154564,0.08169900000000001
0.1329,0.149124,0.154661,0.137732,0.11709100000000001,0.18262899999999999,0.17971800000000002,0.116355,0.074114,0.07584199999999999,0.15398900000000001,0.140132,0.154885,0.079042,0.078786,0.120196,0.13261199999999998,0.14986,0.099715,0.148581,0.069922,0.072866,0.157797,0.076962,0.10083500000000001,0.117572,0.19078900000000001,0.123075,0.09968300000000001
0.119651,0.174597,0.13194,0.148677,0.140676,0.216166,0.164581,0.11286800000000001,0.07533,0.06973,0.130915,0.126116,0.20266199999999998,0.090019,0.143109,0.07283400000000001,0.131908,0.150437,0.075971,0.144612,0.075682,0.072226,0.162853,0.082883,0.08025800000000001,0.164453,0.18448599999999998,0.171557,0.077762
0.12573099999999998,0.179397,0.16755699999999998,0.14758800000000002,0.178629,0.181509,0.16611700000000001,0.164485,0.090947,0.087043,0.122275,0.147428,0.159428,0.08169900000000001,0.116836,0.10806700000000001,0.13555599999999998,0.195718,0.07629,0.140164,0.08003500000000001,0.085379,0.189126,0.10358699999999998,0.09401799999999999,0.151844,0.194822,0.171653,0.102275
0.130307,0.15626099999999998,0.138948,0.153764,0.13626,0.182342,0.172805,0.12474,0.076003,0.068898,0.16221300000000002,0.084867,0.210502,0.071362,0.083075,0.074178,0.165349,0.1305,0.10451600000000001,0.166725,0.102275,0.080803,0.212038,0.074947,0.08502699999999999,0.17677400000000001,0.19863,0.15421300000000002,0.079042
0.149445,0.18327000000000002,0.133412,0.156004,0.159173,0.180902,0.190565,0.11738,0.08397,0.074242,0.11958800000000001,0.151844,0.191653,0.06630599999999999,0.126884,0.099267,0.140484,0.174469,0.07888200000000001,0.139429,0.079874,0.074178,0.20669400000000002,0.088739,0.098179,0.14669200000000002,0.198406,0.163877,0.076162
0.141285,0.167077,0.165413,0.15834,0.159077,0.20531799999999997,0.18973299999999998,0.12345899999999999,0.102595,0.086754,0.114691,0.150213,0.21366999999999997,0.074787,0.101347,0.071747,0.13402,0.195365,0.124323,0.18263,0.089443,0.11315599999999999,0.20695,0.076227,0.08841900000000001,0.16966900000000001,0.20144600000000001,0.1337,0.07763400000000001
0.129251,0.172454,0.11021199999999999,0.151908,0.151621,0.15734800000000002,0.155461,0.11625999999999999,0.082018,0.077218,0.13258,0.105603,0.15242,0.072354,0.082466,0.07773,0.138052,0.189029,0.10342799999999999,0.130468,0.079394,0.077443,0.184902,0.10678800000000001,0.07261000000000001,0.104387,0.177669,0.144772,0.07372999999999999
0.12186,0.174853,0.120323,0.11433900000000001,0.12928399999999998,0.156548,0.148836,0.122724,0.08157,0.066722,0.160133,0.08528200000000001,0.144421,0.092258,0.111171,0.085506,0.182341,0.188966,0.10505899999999999,0.153605,0.10960299999999999,0.074434,0.144645,0.093123,0.103651,0.113124,0.19331800000000002,0.16253299999999998,0.109923
0.113603,0.157861,0.114372,0.11296400000000001,0.160549,0.175269,0.138212,0.159268,0.08835499999999999,0.083139,0.11578,0.105955,0.20023,0.073571,0.131972,0.07219400000000001,0.129124,0.188165,0.084194,0.154309,0.104707,0.076322,0.149412,0.08041799999999999,0.108003,0.149924,0.197414,0.15802,0.087267
