IN[6656],IN[512],IN[1536],IN[7680],IN[3072],IN[2048],IN[6144],IN[3584],IN[9728],IN[10240],IN[8],IN[4608],IN[64],IN[4096],IN[1],IN[8192],IN[4],IN[16],IN[128],IN[2560],IN[8704],IN[7168],IN[256],IN[5632],IN[1024],IN[9216],IN[2],IN[5120],IN[32]
0.1352,0.07993600000000001,0.120031,0.17430299999999999,0.146752,0.12041600000000001,0.16259200000000001,0.149088,0.14207999999999998,0.190719,0.06496,0.13552,0.074816,0.12396800000000001,0.071744,0.1504,0.077376,0.089024,0.074336,0.09689500000000001,0.181024,0.173376,0.06745599999999999,0.132767,0.074464,0.158367,0.06678400000000001,0.137312,0.08032
0.152288,0.094624,0.10128,0.18419100000000002,0.138464,0.081952,0.148095,0.152895,0.215423,0.187263,0.065152,0.133024,0.07247999999999999,0.12495999999999999,0.068704,0.142112,0.07712000000000001,0.12166400000000001,0.077088,0.08448,0.1664,0.187103,0.083424,0.134623,0.123168,0.183776,0.065759,0.159712,0.072127
0.166015,0.069888,0.11926300000000001,0.169151,0.165216,0.08,0.130655,0.156799,0.178112,0.175424,0.068384,0.16348800000000002,0.0856,0.11868800000000002,0.073056,0.123999,0.070208,0.084128,0.072768,0.11504,0.179903,0.172576,0.078176,0.118336,0.10518399999999999,0.198431,0.07939199999999999,0.12495999999999999,0.076288
0.142783,0.07625599999999999,0.125248,0.14355199999999999,0.143648,0.155328,0.158911,0.155487,0.200543,0.185184,0.066176,0.117408,0.07471900000000001,0.124,0.066592,0.139648,0.071008,0.083584,0.08483099999999999,0.136768,0.176576,0.183936,0.067455,0.134848,0.08223899999999999,0.183872,0.06675199999999999,0.142336,0.08
0.166016,0.085439,0.09376,0.17561500000000002,0.144543,0.09632,0.145311,0.117407,0.147136,0.15779100000000001,0.065216,0.12131099999999999,0.077088,0.115424,0.07824,0.129376,0.084352,0.10016,0.071744,0.135776,0.198272,0.182784,0.078784,0.104575,0.074143,0.180288,0.066304,0.13712,0.07523099999999999
0.140256,0.069472,0.09478400000000001,0.177152,0.095743,0.08032,0.133183,0.149791,0.161728,0.227487,0.06614400000000001,0.10496,0.08512,0.125248,0.073791,0.131679,0.064992,0.092096,0.077376,0.0928,0.179679,0.188383,0.117248,0.10972799999999999,0.110911,0.15584,0.065439,0.14096,0.07510399999999999
0.131936,0.081856,0.09072000000000001,0.15651199999999998,0.16352,0.091936,0.175999,0.114719,0.228287,0.209407,0.07616,0.153951,0.076928,0.12864,0.070784,0.13001600000000002,0.070048,0.099616,0.077375,0.086336,0.183008,0.185279,0.075488,0.15295899999999998,0.073791,0.179776,0.074272,0.153279,0.07168
0.113088,0.069408,0.08192,0.18531199999999998,0.15923199999999998,0.094432,0.175967,0.158144,0.19587100000000002,0.20662399999999997,0.066464,0.131519,0.074112,0.1248,0.09049600000000001,0.13001600000000002,0.065375,0.080575,0.081472,0.133376,0.200576,0.187967,0.07808,0.159904,0.072576,0.203263,0.066048,0.146304,0.09094400000000001
0.11168,0.091263,0.08,0.146624,0.110431,0.102496,0.119967,0.140448,0.2024,0.166208,0.074464,0.133024,0.079904,0.108672,0.08851200000000001,0.150239,0.073536,0.080864,0.07072,0.106368,0.18220699999999998,0.18992,0.104032,0.109375,0.073439,0.16531099999999999,0.06544,0.13216,0.068192
0.113504,0.093471,0.11472,0.19356800000000002,0.110911,0.090688,0.1328,0.16848,0.175231,0.14393499999999998,0.079296,0.134496,0.10393599999999999,0.150176,0.071296,0.191615,0.073568,0.0648,0.075392,0.10534400000000001,0.182496,0.17504,0.06745599999999999,0.134272,0.072991,0.172447,0.073664,0.132608,0.068288
0.179872,0.06992000000000001,0.111135,0.187744,0.156927,0.10815999999999999,0.165888,0.11228800000000001,0.188159,0.20559899999999998,0.074016,0.12704000000000001,0.071616,0.131168,0.0656,0.1544,0.0672,0.070624,0.086528,0.10169500000000001,0.165535,0.151775,0.10793599999999999,0.125599,0.080256,0.180799,0.075071,0.112127,0.074272
0.139968,0.087648,0.080416,0.17996800000000002,0.1528,0.09792000000000001,0.174656,0.11436800000000001,0.195168,0.213376,0.073632,0.10528,0.09478400000000001,0.13491199999999998,0.070368,0.142399,0.074496,0.10931099999999999,0.067231,0.149951,0.202016,0.16032000000000002,0.082879,0.12723199999999998,0.071648,0.208671,0.06608,0.163679,0.066848
0.136511,0.090624,0.108608,0.17865599999999998,0.14128,0.100352,0.16201600000000002,0.139487,0.201152,0.16131199999999998,0.066112,0.113344,0.08012799999999999,0.12620699999999999,0.069119,0.125727,0.075584,0.076192,0.066496,0.08847999999999999,0.156672,0.128064,0.067712,0.15945499999999999,0.081984,0.182239,0.065216,0.10771199999999999,0.06678400000000001
0.115295,0.090048,0.095264,0.137151,0.120896,0.079968,0.150816,0.1168,0.191967,0.140512,0.069472,0.127104,0.074752,0.10803099999999999,0.065024,0.175904,0.076352,0.083712,0.072864,0.09168,0.166496,0.188383,0.077792,0.173152,0.072864,0.182783,0.087104,0.152608,0.073888
0.125248,0.069824,0.1176,0.14716700000000002,0.12495999999999999,0.100096,0.160576,0.15299200000000002,0.165408,0.192192,0.06527999999999999,0.1344,0.067584,0.131999,0.065696,0.176608,0.076543,0.07776,0.08127999999999999,0.091392,0.201407,0.150592,0.119424,0.11232,0.078816,0.160927,0.0712,0.135712,0.082176
0.135711,0.069088,0.10032,0.160992,0.139008,0.134752,0.148288,0.11312,0.192064,0.144703,0.065248,0.11059200000000001,0.075712,0.11868800000000002,0.070208,0.147359,0.070656,0.08416,0.07536,0.13264,0.175071,0.146047,0.10371199999999998,0.121056,0.080447,0.156703,0.064831,0.13001500000000002,0.07568
0.135872,0.06912,0.129408,0.148256,0.143775,0.080096,0.160896,0.145791,0.14864000000000002,0.20592,0.071136,0.116192,0.099392,0.11948800000000001,0.069951,0.176032,0.069856,0.066176,0.08336,0.11894300000000001,0.19568,0.156032,0.100448,0.108831,0.07264,0.17539100000000002,0.065439,0.16911900000000002,0.072224
0.18928,0.111455,0.126879,0.14176,0.138207,0.10524800000000001,0.173536,0.11260799999999999,0.16179200000000002,0.218464,0.065536,0.127936,0.075456,0.10678399999999999,0.065088,0.13209500000000002,0.06579199999999999,0.071136,0.09312000000000001,0.105439,0.17871900000000002,0.150399,0.113599,0.108672,0.07254400000000001,0.174239,0.064864,0.17135999999999998,0.10335899999999999
0.126912,0.08912,0.11334300000000001,0.14415899999999998,0.134175,0.10966400000000001,0.118336,0.11091199999999998,0.190367,0.140351,0.073184,0.124352,0.083648,0.12281600000000001,0.065312,0.155104,0.07459199999999999,0.099008,0.08345599999999999,0.099391,0.16064,0.151232,0.073664,0.133984,0.07324800000000001,0.20383900000000002,0.071552,0.102432,0.073312
0.112896,0.06912,0.118592,0.145056,0.135391,0.095968,0.109535,0.146528,0.155199,0.16944,0.06563200000000001,0.10224,0.10272,0.115007,0.075136,0.147616,0.072895,0.07584,0.07568,0.11375899999999999,0.147456,0.155167,0.067616,0.144224,0.074112,0.190207,0.066304,0.17392,0.068576
0.113248,0.111104,0.102592,0.169504,0.121951,0.103104,0.134624,0.158624,0.187136,0.142048,0.065216,0.12291099999999999,0.074015,0.14992,0.07494400000000001,0.150783,0.070239,0.075776,0.075744,0.099039,0.192127,0.13312000000000002,0.081728,0.150847,0.07376,0.164224,0.073792,0.15344000000000002,0.070783
0.14921600000000002,0.081535,0.111296,0.196928,0.159296,0.081888,0.17424,0.16544,0.180767,0.166784,0.084256,0.13712,0.066304,0.163775,0.074656,0.1792,0.09984,0.087328,0.071648,0.10908699999999999,0.147904,0.118048,0.068704,0.13356800000000002,0.082816,0.1904,0.065472,0.140096,0.07552
0.179392,0.086784,0.09952000000000001,0.1904,0.11945599999999999,0.08272,0.173792,0.135647,0.15401600000000001,0.17407999999999998,0.078368,0.097312,0.073568,0.11091199999999998,0.064735,0.136384,0.070368,0.09664,0.074911,0.11273599999999999,0.1416,0.18598399999999998,0.093952,0.11126300000000001,0.074144,0.178016,0.074624,0.160288,0.073408
0.184512,0.06944,0.096608,0.164992,0.147168,0.10726400000000001,0.12188800000000001,0.126815,0.168415,0.141952,0.073759,0.13152,0.094527,0.16614400000000001,0.07568,0.159839,0.07772799999999999,0.085119,0.06918400000000001,0.101023,0.190655,0.16991900000000001,0.118592,0.1264,0.085888,0.20188699999999998,0.070559,0.11459200000000001,0.073344
0.133023,0.069344,0.115807,0.193119,0.130688,0.131232,0.15855999999999998,0.137503,0.16905499999999998,0.140095,0.06716699999999999,0.154944,0.07251200000000001,0.1224,0.074016,0.165472,0.070976,0.071008,0.081024,0.099775,0.145152,0.15321500000000002,0.06739099999999999,0.131168,0.0792,0.199711,0.06531100000000001,0.142656,0.066592
0.128544,0.104832,0.105119,0.167232,0.166431,0.0952,0.130751,0.137536,0.132831,0.19209600000000002,0.07728,0.123904,0.071712,0.164415,0.072479,0.122656,0.07136,0.099936,0.078207,0.091008,0.192255,0.130688,0.068064,0.125727,0.08924800000000001,0.193759,0.10291099999999999,0.153343,0.07961499999999999
0.148927,0.0856,0.100896,0.145984,0.147519,0.08630399999999999,0.120448,0.1288,0.146527,0.19548800000000002,0.06511900000000001,0.115328,0.075039,0.121887,0.078368,0.12403099999999999,0.090016,0.06576,0.07993600000000001,0.115775,0.156288,0.138431,0.109088,0.138464,0.073152,0.184415,0.068288,0.12953499999999998,0.07145599999999999
0.162592,0.088576,0.076735,0.154912,0.137568,0.095872,0.11436800000000001,0.11443199999999999,0.16691199999999998,0.209504,0.066143,0.15072,0.077472,0.135936,0.073536,0.138208,0.072127,0.098624,0.09888,0.12598299999999998,0.167103,0.163008,0.070496,0.13126300000000002,0.072384,0.195615,0.070784,0.124544,0.07647999999999999
0.155136,0.09952000000000001,0.09071900000000001,0.171231,0.156736,0.084832,0.17849600000000002,0.12038399999999999,0.1632,0.182335,0.074303,0.0992,0.076352,0.123136,0.0696,0.12489600000000001,0.073184,0.09020800000000001,0.075904,0.15529500000000002,0.164127,0.174751,0.084064,0.10704000000000001,0.08140800000000001,0.182719,0.065664,0.15696,0.070912
0.118112,0.068927,0.087136,0.1632,0.11424000000000001,0.107744,0.132128,0.167104,0.154912,0.20704,0.082335,0.129952,0.105504,0.160447,0.072607,0.131968,0.073056,0.076864,0.07177599999999999,0.097952,0.154976,0.16588699999999998,0.126912,0.14063900000000001,0.08163200000000001,0.197791,0.08035199999999999,0.158399,0.070112
0.154336,0.068991,0.10601600000000001,0.172992,0.14112,0.12009600000000001,0.11452799999999999,0.127487,0.15353599999999998,0.2072,0.0648,0.122432,0.082464,0.114976,0.077664,0.151424,0.074431,0.070784,0.099616,0.113376,0.155936,0.177759,0.084608,0.11936,0.081472,0.18095899999999998,0.064512,0.158496,0.076511
0.129119,0.115007,0.087616,0.167712,0.143967,0.10432000000000001,0.160608,0.11299200000000001,0.161408,0.18272,0.065216,0.16348800000000002,0.072896,0.155776,0.070048,0.141824,0.07168,0.069952,0.089632,0.11548800000000001,0.157407,0.17648,0.070208,0.134464,0.078432,0.182112,0.064832,0.153247,0.078784
0.130048,0.095648,0.091904,0.169311,0.118111,0.079264,0.12009600000000001,0.145056,0.15184,0.187391,0.06527999999999999,0.13126400000000002,0.08681599999999999,0.09916799999999999,0.10128,0.12876700000000002,0.075072,0.099488,0.076864,0.12393599999999999,0.166464,0.185023,0.089568,0.11983900000000001,0.138272,0.169951,0.066528,0.11491099999999999,0.10512
0.141471,0.119968,0.10534400000000001,0.163071,0.117631,0.081152,0.17702400000000001,0.139103,0.171967,0.168736,0.076736,0.12134400000000001,0.085984,0.15884700000000002,0.084704,0.152544,0.06582400000000001,0.074688,0.06665599999999999,0.085984,0.163392,0.174272,0.086592,0.130496,0.07904,0.204192,0.077984,0.127808,0.071392
0.174336,0.070111,0.077248,0.178879,0.147007,0.12032000000000001,0.176576,0.09776,0.164287,0.16003199999999998,0.06448,0.13078399999999998,0.079968,0.112576,0.07103999999999999,0.170816,0.07283200000000001,0.071552,0.069376,0.12047999999999999,0.17718399999999998,0.18767999999999999,0.073407,0.119903,0.078335,0.17232,0.070912,0.135104,0.06969600000000001
0.142783,0.10415999999999999,0.08854400000000001,0.175968,0.11584000000000001,0.07916799999999999,0.125024,0.113791,0.191615,0.141631,0.064832,0.152224,0.08064,0.15212699999999998,0.067616,0.194879,0.069664,0.07219099999999999,0.073376,0.08569600000000001,0.175807,0.194528,0.06915199999999999,0.1512,0.077663,0.16697599999999999,0.065984,0.153376,0.072576
0.116928,0.131456,0.07699199999999999,0.16288,0.13072,0.087104,0.159104,0.146112,0.18953599999999998,0.20176,0.065184,0.11148800000000002,0.086207,0.149056,0.084352,0.132703,0.070048,0.0712,0.076032,0.147456,0.17708800000000002,0.18543900000000002,0.079263,0.143871,0.081152,0.199712,0.06576,0.165471,0.096288
